1-D Interpolation (INTERP1) QC,Combine QC Flags (CMBNFLG) QC,Conductivity Compressibility Compensation (CONDCMP) QC,DOORS L2 Science Requirement #(s),DOORS L2 Science Requirement Text,DPS DCN(s),Data_Product_Level,Data_Product_Name,Evaluate Polynomial (POLYVAL) QC,Global Range Test (GLBLRNG) QC,Gradient Test (GRADTST) QC,Local Range Test (LOCLRNG) QC,Modulus (MODULUS) QC,Notes,Processing Flow Diagram DCN(s),Solar Elevation (SOLAREL) QC,Spike Test (SPKETST) QC,Stuck Value Test (STUCKVL) QC,Trend Test (TRNDTST) QC,Units,code,diagrams,dps,id,instrument_class_list,level,name,regime,units
not applicable,not applicable,not applicable,L2-SR-RQ-3850,Interactive Sampling for Microbial Genetic Analyses,DCN 1341-00630,2,16s rRNA sequence of filtered physical sample,not applicable,not applicable,not applicable,not applicable,not applicable,,n/a,not applicable,not applicable,not applicable,not applicable,2 micron filter,DNASAMP,n/a,DCN 1341-00630,DNASAMP_L2,"[""PPSDN""]",L2,16s rRNA sequence of filtered physical sample,Seafloor/Crust,2 micron filter
not applicable,not applicable,not applicable,L2-SR-RQ-3033,Direct Covariance Fluxes ,DCN 1341-00360,0,Air Temperature,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00360,not applicable,not applicable,not applicable,not applicable,degree C,TEMPAIR,DCN 1342-00360,DCN 1341-00360,TEMPAIR_L1,"[""METBK""]",L1,Air Temperature,"Air-Sea Interface, Surface Water",degree C
not applicable,not applicable,not applicable,L2-SR-RQ-3033,Direct Covariance Fluxes ,DCN 1341-00360,0,Air Temperature,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00360,not applicable,not applicable,not applicable,not applicable,degree C,TEMPAIR,DCN 1342-00360,DCN 1341-00360,TEMPAIR_L0,"[""METBK""]",L0,Air Temperature,"Air-Sea Interface, Surface Water",degree C
,,,,,,2,Air Temperature at 2 m,,,,,,,,,,,,degrees C,TEMPA2M,,,TEMPA2M_L2,"[""METBK""]",L2,Air Temperature at 2 m,,degrees C
not applicable,not applicable,not applicable,L2-SR-RQ-3020,Barometric Pressure,DCN 1341-00360,0,Barometric Pressure,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00360,not applicable,not applicable,not applicable,not applicable,mbar,BARPRES,DCN 1342-00360,DCN 1341-00360,BARPRES_L0,"[""METBK""]",L0,Barometric Pressure,"Air-Sea Interface, Surface Water",mbar
not applicable,not applicable,not applicable,L2-SR-RQ-3020,Barometric Pressure,DCN 1341-00360,0,Barometric Pressure,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00360,not applicable,not applicable,not applicable,not applicable,mbar,BARPRES,DCN 1342-00360,DCN 1341-00360,BARPRES_L1,"[""METBK""]",L1,Barometric Pressure,"Air-Sea Interface, Surface Water",Pa
TBD,TBD,TBD,L2-SR-RQ-3087,Fluid Flow - into and out of seep sites,DCN 1341-00220,2,Benthic Flow Rates,TBD,TBD,TBD,TBD,TBD,,DCN 1342-00220,TBD,TBD,TBD,TBD,m/yr,BENTHFL,DCN 1342-00220,DCN 1341-00220,BENTHFL_L2,"[""FLOBN""]",L2,Benthic Flow Rates,Seafloor/Crust,m/yr
not applicable,not applicable,not applicable,L2-SR-RQ-3918,HPIES Bottom Pressure,DCN 1341-00570,0,Bottom Pressure,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00560,not applicable,not applicable,not applicable,not applicable,TBD,IESPRES,DCN 1342-00560,DCN 1341-00570,IESPRES_L0,"[""HPIES""]",L0,Bottom Pressure,Water Column,TBD
not applicable,not applicable,not applicable,L2-SR-RQ-3918,HPIES Bottom Pressure,DCN 1341-00570,0,Bottom Pressure,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00560,not applicable,not applicable,not applicable,not applicable,TBD,IESPRES,DCN 1342-00560,DCN 1341-00570,IESPRES_L1,"[""HPIES""]",L1,Bottom Pressure,Water Column,Pa
not applicable,not applicable,not applicable,L2-SR-RQ-3086,Acoustic Pressure Waves,DCN 1341-00820,0,Broadband Acoustic pressure waves ,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00810,not applicable,not applicable,not applicable,not applicable,TBD,HYDAPBB,DCN 1342-00810,DCN 1341-00820,HYDAPBB_L1,"[""HYDBB""]",L1,Broadband Acoustic pressure waves,"Water Column, Seafloor/Crust",dB//1uPa/V
