Class,First Deployment Date,Platform Agent Type,Relative Depth,data_agent_recovery,data_agent_rt,data_product_list,deploy_date,depth_port_max,depth_port_min,depth_subsite,id,instrument_agent_rt,instrument_class,instrument_model,instrument_model1,instrument_series,instrument_subseries,latitude,longitude,makemodel,ready_for_2013
CTDMO,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,350m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,350,350,5200,GA03FLMA-RI001-13-CTDMOG999,FALSE,CTDMO,CTDMOG,CTDMO,G,01,-42.5073,-42.8905,SBE 37IM,
ADCPS,2013-08,Shore CyberPoP - Open Ocean Glider Dock Server,"Mounted at 500m, uplooking",TRUE,TRUE,"[""ECHOINT_L0"", ""ECHOINT_L1"", ""VELPROF_L0"", ""VELPROF_L1""]",2013-08-05 00:00:00,500,500,4250,GP03FLMA-RI001-04-ADCPSL999,FALSE,ADCPS,ADCPSL,ADCPS,L,01,50.4676,-144.5174,WorkHorse LongRanger Sentinel 75khz,
DOSTA,2013-10,Shore CyberPoP - Coastal Glider Dock Server,Sea surface to near seafloor or <= 1000m,TRUE,TRUE,"[""DOCONCS_L0"", ""DOCONCS_L2""]",2013-10-25 00:00:00,1000,0,,CE05MOAS-GL003-04-DOSTAM999,FALSE,DOSTA,DOSTAM,DOSTA,M,01,,,Optode 4831,
CTDMO,2014-06,Shore CyberPoP - Open Ocean Glider Dock Server,250m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,250,250,2800,GI03FLMA-RI001-12-CTDMOG999,FALSE,CTDMO,CTDMOG,CTDMO,G,01,60.4582,-38.4407,SBE 37IM,
FDCHP,2015-01,Shore CyberPoP - Global Mooring Server,~3m above sea surface,TRUE,FALSE,"[""FLUXHOT_L2"", ""FLUXMOM_L2"", ""FLUXWET_L2"", ""MOISTUR_L0"", ""MOISTUR_L1"", ""MOTFLUX_L0"", ""RELHUMI_L0"", ""RELHUMI_L1"", ""TMPATUR_L0"", ""TMPATUR_L1"", ""WINDTUR_L0"", ""WINDTUR_L1""]",2020-01-01 00:00:00,-3,-3,4800,GS01SUMO-SB001-04-FDCHPA999,TRUE,FDCHP,FDCHPA,FDCHP,A,01,-54.4704,-89.2796,non-commercial FDCHP,No
CTDMO,2014-06,Shore CyberPoP - Open Ocean Glider Dock Server,30m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,30,30,2800,GI03FLMB-RI001-06-CTDMOG999,FALSE,CTDMO,CTDMOG,CTDMO,G,01,60.4582,-38.0755,SBE 37IM,
FLORD,2013-08,Shore CyberPoP - Open Ocean Glider Dock Server,~240m below sea surface to 3900m,TRUE,TRUE,"[""CHLAFLO_L0"", ""CHLAFLO_L1"", ""FLUBSCT_L0"", ""FLUBSCT_L1""]",2013-08-05 00:00:00,3900,240,4250,GP02HYPM-WF004-01-FLORDL999,FALSE,FLORD,FLORDL,FLORD,L,01,50.1969,-144.7131,FLBBRTD,
CTDMO,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,1000m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,1000,1000,4800,GS03FLMB-RI001-16-CTDMOH999,FALSE,CTDMO,CTDMOH,CTDMO,H,01,-54.0814,-88.894,SBE 37IM,
DOSTA,,,Sea surface to near seafloor or <= 1000m,TRUE,TRUE,"[""DOCONCS_L0"", ""DOCONCS_L2""]",2013-11-22 00:00:00,1000,0,,CP05MOAS-GL001-04-DOSTAM999,FALSE,DOSTA,DOSTAM,DOSTA,M,01,,,Optode 4831,
PARAD,2013-10,Shore CyberPoP - Coastal Mooring Server,Near bottom to 15m below surface,TRUE,TRUE,"[""OPTPARW_L0"", ""OPTPARW_L1""]",2020-01-01 00:00:00,500,15,500,CE09OSPM-WF001-05-PARAD0999,FALSE,PARAD,PARAD0,PARAD,0,01,46.91,-124.95,,
FLORT,2014-06,Shore CyberPoP - Open Ocean Glider Dock Server,40m below sea surface,TRUE,TRUE,"[""CDOMFLO_L0"", ""CDOMFLO_L1"", ""CHLAFLO_L0"", ""CHLAFLO_L1"", ""FLUBSCT_L0"", ""FLUBSCT_L1""]",2020-01-01 00:00:00,40,40,2800,GI03FLMA-RI001-01-FLORTD999,FALSE,FLORT,FLORTD,FLORT,D,01,60.4582,-38.4407,ECO Triplet-w,
